name,reclat,reclong,mass (g),year,family
Grosvenor Mountains 95668,-85.66667,175.0,72.3,1995.0,Chondrite — Ordinary
Dar al Gani 337,27.182,16.15017,142.0,1997.0,Chondrite — Ordinary
Meteorite Hills 00441,-79.68333,155.75,1299.6,2000.0,Chondrite — Ordinary
Northwest Africa 6094,0.0,0.0,160.0,2007.0,Chondrite — Ordinary
Elephant Moraine 90351,-76.27752,156.37694,105.8,1990.0,Chondrite — Ordinary
Elephant Moraine 90416,-76.28057,156.43334,5.3,1990.0,Chondrite — Ordinary
Dhofar 1460,19.0182,54.3723,40.5,2008.0,Chondrite — Ordinary
Cole Creek,41.35,-99.11667,16300.0,1991.0,Chondrite — Ordinary
Reckling Peak A80233,-76.22172,158.68468,413.5,1980.0,Chondrite — Ordinary
Yamato 74568,0.0,35.66667,4.12,1974.0,Chondrite — Ordinary
Queen Alexandra Range 97223,-84.0,168.0,4.6,1997.0,Chondrite — Ordinary
Yamato 982016,0.0,0.0,4.52,1998.0,Chondrite — Ordinary
Queen Alexandra Range 99485,-84.0,168.0,0.7,1999.0,Chondrite — Ordinary
Meteorite Hills 01285,-79.68333,159.75,53.4,2001.0,Chondrite — Ordinary
Allan Hills A78187,-76.71667,159.66667,3.67,1977.0,Chondrite — Ordinary
Sayh al Uhaymir 045,21.04361,57.0175,306.9,2000.0,Chondrite — Ordinary
Lewis Cliff 88239,-84.23746,161.49297,5.3,1988.0,Chondrite — Ordinary
Yamato 75258,-71.5,35.66667,971.0,1975.0,Chondrite — Ordinary
Northwest Africa 3319,0.0,0.0,221.3,2005.0,Chondrite — Ordinary
Northwest Africa 7746,0.0,0.0,15.0,2012.0,Chondrite — Ordinary
Pecora Escarpment 91434,-85.69088,-68.52405,3.4,1991.0,Chondrite — Ordinary
Lewis Cliff 88628,-84.25168,161.40899,6.8,1988.0,Chondrite — Ordinary
Dar al Gani 613,27.039,16.26117,566.0,1998.0,Chondrite — Ordinary
Jiddat al Harasis 456,19.7378,56.32143,264.74,2007.0,Chondrite — Ordinary
Sand Creek,39.43,-99.995,2443.0,1986.0,Chondrite — Ordinary
Yamato 791851,-71.5,35.66667,13.86,1979.0,Chondrite — Ordinary
Dar al Gani 625,27.35517,16.2035,502.0,1998.0,Chondrite — Ordinary
Sayh al Uhaymir 318,20.99833,57.31167,70.0,2004.0,Chondrite — Ordinary
Dhofar 786,19.06693,54.51932,36.33,2001.0,Chondrite — Ordinary
San Juan 054,-25.44067,-69.86367,238.0,2010.0,Chondrite — Ordinary
Northwest Africa 7734,0.0,0.0,1900.0,2012.0,Chondrite — Ordinary
Grove Mountains 99017,-73.08333,75.2,5.51,2000.0,Chondrite — Ordinary
Yamato 791747,-71.5,35.66667,5.84,1979.0,Chondrite — Carbonaceous
Northwest Africa 460,31.36817,-4.01683,655.0,2001.0,Chondrite — Ordinary
Allan Hills 85126,-76.86039,156.50627,46.5,1985.0,Chondrite — Ordinary
Siwa,28.5,25.5,36.0,1994.0,Chondrite — Ordinary
Yamato 981420,0.0,0.0,25.49,1998.0,Chondrite — Ordinary
Northwest Africa 7236,0.0,0.0,505.0,2011.0,Chondrite — Ordinary
Queen Alexandra Range 97276,-84.0,168.0,9.3,1997.0,Chondrite — Ordinary
Beeler,38.53333,-100.21667,11620.0,1924.0,Chondrite — Ordinary
Elephant Moraine 92110,-76.06102,156.08084,56.3,1992.0,Chondrite — Ordinary
Miller Range 07465,0.0,0.0,17.8,2007.0,Chondrite — Ordinary
Elephant Moraine 96110,-76.18333,157.16667,2.2,1996.0,Chondrite — Ordinary
Allan Hills A81190,-76.70333,159.39667,48.3,1981.0,Chondrite — Ordinary
Lewis Cliff 88486,-84.24922,161.37585,11.1,1988.0,Chondrite — Ordinary
Dominion Range 08131,0.0,0.0,9.5,2008.0,Chondrite — Ordinary
Iron Creek,53.0,-112.0,175000.0,1869.0,Iron meteorite
Miller Range 07257,0.0,0.0,4.2,2007.0,Chondrite — Ordinary
Hammadah al Hamra 062,28.76467,12.34367,163.0,1994.0,Chondrite — Ordinary
Allan Hills 84057,-76.83592,158.25518,368.2,1984.0,Chondrite — Ordinary
Asuka 881985,-72.0,26.0,16.54,1988.0,Chondrite — Ordinary
Dar al Gani 943,27.21733,16.09267,15.25,2000.0,Chondrite — Ordinary
Meteorite Hills 001011,-79.68333,159.75,11.6,2000.0,Chondrite — Ordinary
Yamato 981471,0.0,0.0,5.11,1998.0,Chondrite — Ordinary
Yamato 74239,-71.5,35.66667,7.55,1974.0,Chondrite — Ordinary
Grove Mountains 022129,-72.77889,75.31361,30.24,2003.0,Chondrite — Ordinary
Acfer 058,27.38333,3.71667,277.0,1989.0,Chondrite — Ordinary
Allan Hills A77148,-76.71667,159.66667,13.1,1977.0,Chondrite — Ordinary
Yamato 793003,-71.5,35.66667,1.62,1979.0,Chondrite — Enstatite
Yamato 791197,-71.5,35.66667,52.4,1979.0,Achondrite — Lunar
Sacramento Wash 003,34.75873,-114.23342,89.2,2004.0,Chondrite — Ordinary
Asuka 881655,-72.0,26.0,36.64,1988.0,Chondrite — Carbonaceous
Lewis Cliff 88343,-84.26994,161.40738,28.1,1988.0,Chondrite — Ordinary
Yamato 74632,0.0,35.66667,3.02,1974.0,Chondrite — Ordinary
